Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
Kazuhiro Nakamura,Light Heavyweight,5.92,205,70,40,15,11,0
Keita Nakamura,Welterweight,5.92,170,73,35,34,10,2
Yui Chul Nam,Featherweight,5.75,145,69,38,18,6,1
Tyson Nam,Flyweight,5.58,125,68,36,18,10,1
Rose Namajunas,Women's Strawweight,5.42,115,65,27,9,4,0
Nad Narimani,Featherweight,5.67,145,70,32,12,3,0
Roger Narvaez,Middleweight,6.25,185,79,36,7,2,0
Bobby Nash,Welterweight,6.0,170,74,29,8,4,0
Rafael Natal,Middleweight,6.0,185,76,36,21,9,1
Ismail Naurdiev,Welterweight,5.83,170,74,23,19,3,0
Geoff Neal,Welterweight,5.92,170,75,29,12,2,0
Stanislav Nedkov,Light Heavyweight,5.92,205,71,37,12,2,0
Josh Neer,Welterweight,5.92,170,72,36,33,13,1
Nicolae Negumereanu,Light Heavyweight,6.0,205,78,25,9,1,0
Shane Nelson,Lightweight,5.75,155,70,34,15,5,0
Roy Nelson,Heavyweight,6.0,263,72,43,23,14,0
Gunnar Nelson,Welterweight,5.92,170,72,31,17,5,1
Kyle Nelson,Featherweight,5.92,155,71,28,13,3,0
Antonio Braga Neto,Middleweight,6.25,185,77,31,9,3,0
Nick Newell,Lightweight,5.83,155,74,33,14,1,0
Journey Newson,Bantamweight,5.42,135,67,30,9,2,0
Francis Ngannou,Heavyweight,6.33,250,83,33,14,3,0
Ben Nguyen,Flyweight,5.42,125,65,31,17,8,0
Alex Nicholson,Middleweight,6.33,185,81,29,7,4,0
Matheus Nicolau,Flyweight,5.5,125,66,26,13,3,1
Tom Niinimaki,Featherweight,5.75,145,69,37,21,8,1
Ramsey Nijem,Lightweight,5.92,155,75,31,10,6,0
Mats Nilsson,Welterweight,6.08,170,74,35,11,4,1
Ning Guangyou,Bantamweight,5.33,145,64,37,6,4,1
Anthony Njokuani,Lightweight,6.08,155,75,39,16,9,0
Minotauro Nogueira,Heavyweight,6.25,240,77,43,34,10,1
Rogerio Nogueira,Light Heavyweight,6.17,205,75,43,23,9,0
Kyle Noke,Welterweight,6.08,170,76,39,22,10,1
KJ Noons,Welterweight,5.83,155,72,36,12,8,0
Sage Northcutt,Welterweight,6.0,170,71,23,11,2,0
Jason Novelli,Lightweight,6.0,155,75,40,11,3,1
Phillipe Nover,Featherweight,5.75,145,72,35,12,8,1
Diego Nunes,Featherweight,5.5,145,67,36,18,4,0
Amanda Nunes,Women's Bantamweight,5.67,135,69,31,18,4,0
Khabib Nurmagomedov,Lightweight,5.83,155,70,31,28,0,0
Said Nurmagomedov,Bantamweight,5.67,135,70,27,13,1,0
Kennedy Nzechukwu,Light Heavyweight,6.42,205,83,27,7,1,0
Jake O'Brien,Light Heavyweight,6.25,205,76,35,13,4,0
Sean O'Connell,Light Heavyweight,6.08,205,74,36,17,9,0
Sean O'Malley,Bantamweight,5.92,135,72,25,10,0,0
Brendan O'Reilly,Welterweight,5.58,170,69,32,6,3,0
Christian Ocon,Bantamweight,5.67,135,69,23,4,1,0
Richard Odoms,Heavyweight,6.42,265,82,44,8,1,0
Volkan Oezdemir,Light Heavyweight,6.17,205,75,30,16,4,0
Andy Ogle,Featherweight,5.67,145,69,30,9,6,0
Yushin Okami,Welterweight,6.17,170,75,38,35,12,0
JJ Okanovich,Lightweight,5.92,155,76,28,6,1,0
Aleksei Oleinik,Heavyweight,6.17,240,80,42,57,13,1
Michal Oleksiejczuk,Light Heavyweight,6.0,205,74,24,14,3,0
Rafaello Oliveira,Lightweight,5.67,155,71,37,15,7,0
Charles Oliveira,Lightweight,5.83,155,74,30,27,8,0
Ednaldo Oliveira,Light Heavyweight,6.42,205,79,35,13,2,1
Alex Oliveira,Welterweight,5.92,170,76,31,19,8,1
Wendell Oliveira,Welterweight,5.83,170,72,36,24,9,0
Felipe Olivieri,Lightweight,5.75,155,72,34,14,5,0
Cameron Olson,Light Heavyweight,6.08,205,75,29,7,3,0
Alan Omer,Featherweight,5.83,145,71,31,18,5,0
Daniel Omielanczuk,Heavyweight,6.0,247,74,37,19,8,1
Michihiro Omigawa,Featherweight,5.5,145,68,43,13,13,1
Chibwikem Onyenegecha-Palmer,Middleweight,6.25,185,76,25,6,0,0
Brian Ortega,Featherweight,5.67,145,69,28,14,1,0
Tito Ortiz,Light Heavyweight,6.25,205,74,44,17,11,1
Dustin Ortiz,Flyweight,5.42,125,65,30,19,8,0
Kenji Osawa,Bantamweight,5.58,135,66,42,18,10,2
Ode Osbourne,Bantamweight,5.58,135,73,27,7,2,0
Nick Osipczak,Welterweight,6.17,170,76,34,5,3,0
Rachael Ostovich,Women's Flyweight,5.25,125,62,28,4,5,0
Zak Ottow,Welterweight,5.92,170,72,32,17,7,0
Sidney Outlaw,Welterweight,5.67,170,74,27,8,4,0
Alistair Overeem,Heavyweight,6.33,265,80,39,45,17,0
Alptekin Ozkilic,Flyweight,5.42,125,65,33,9,4,0
Nick Pace,Bantamweight,5.58,135,68,32,6,3,0
Larissa Pacheco,Women's Bantamweight,5.58,135,69,25,10,2,0
Teemu Packalen,Lightweight,6.08,155,75,32,8,3,0
Damacio Page,Bantamweight,5.5,135,66,37,12,8,0
Dustin Pague,Bantamweight,5.75,135,74,32,11,10,0
Raulian Paiva,Flyweight,5.67,125,69,24,18,3,0
Fredson Paixao,Featherweight,5.5,145,66,40,10,4,0
Bart Palaszewski,Featherweight,5.75,145,70,36,35,17,0
Soa Palelei,Heavyweight,6.33,265,81,42,22,5,0
Rousimar Palhares,Welterweight,5.67,170,71,39,24,5,0
Alexandre Pantoja,Flyweight,5.42,125,67,29,21,4,0
Jared Papazian,Flyweight,5.67,135,67,31,14,9,0
Karo Parisyan,Welterweight,5.83,170,72,37,19,8,0
Jun Yong Park,Middleweight,5.83,185,73,28,10,4,0
Harvey Park,Lightweight,6.0,155,70,33,12,2,0
Norman Parke,Lightweight,5.92,155,70,32,22,5,1
Claude Patrick,Welterweight,5.92,170,75,39,14,2,0
Alan Patrick,Lightweight,5.92,155,74,36,15,2,0
Sergei Pavlovich,Heavyweight,6.25,257,84,27,13,1,0
Pawel Pawlak,Welterweight,6.0,170,73,30,11,2,0
Estevan Payan,Featherweight,5.83,145,72,37,14,6,0
Jonathan Pearce,Lightweight,6.0,155,71,27,9,4,0
Ross Pearson,Lightweight,5.67,155,69,35,22,16,0
Carlo Pedersoli,Welterweight,5.92,170,75,26,11,3,0
Tyson Pedro,Light Heavyweight,6.25,205,79,28,7,3,0
Filip Pejic,Bantamweight,5.67,135,70,27,10,2,1
Kurt Pellegrino,Lightweight,5.67,155,70,40,16,6,0
Julianna Pena,Women's Bantamweight,5.5,135,69,30,10,3,0
Luis Pena,Featherweight,6.25,155,75,26,7,2,0
Cathal Pendred,Welterweight,6.08,170,75,32,17,5,1
BJ Penn,Lightweight,5.75,155,70,40,16,14,2
Jessica Penne,Women's Strawweight,5.42,115,67,36,12,6,0
Nick Penner,Light Heavyweight,6.33,205,77,39,12,3,0
Raquel Pennington,Women's Bantamweight,5.58,135,67,31,10,8,0
Godofredo Pepey,Featherweight,5.58,145,73,32,14,6,0
Robert Peralta,Featherweight,5.67,145,71,33,18,6,0
Viviane Pereira,Women's Strawweight,5.08,115,63,26,13,2,0
Michel Pereira,Welterweight,6.08,170,73,26,23,10,0
Erik Perez,Bantamweight,5.67,135,68,29,17,6,0
Alejandro Perez,Bantamweight,5.5,135,67,30,22,8,1
Frankie Perez,Lightweight,5.92,155,73,30,10,4,0
Alex Perez,Bantamweight,5.5,135,65,27,22,5,0
Markus Perez,Middleweight,6.08,185,73,31,11,2,0
Anthony Perosh,Light Heavyweight,6.25,205,75,47,15,10,0
Thiago Perpetuo,Welterweight,5.83,170,71,31,9,4,1
Hernani Perpetuo,Welterweight,6.0,170,74,34,17,5,0
Jason Perrin,Bantamweight,5.58,135,69,26,8,3,0
Mike Perry,Welterweight,5.83,170,71,28,13,5,0
Raphael Pessoa,Heavyweight,6.25,262,78,30,9,1,0
Viktor Pesta,Heavyweight,6.25,240,77,29,10,4,0
Steven Peterson,Featherweight,5.83,145,70,29,18,9,0
Seth Petruzelli,Light Heavyweight,6.0,205,76,39,14,6,0
Peter Petties,Featherweight,5.92,145,72,28,5,3,0
Anthony Pettis,Lightweight,5.83,170,72,32,22,9,0
Sergio Pettis,Flyweight,5.5,125,69,26,18,5,0
Forrest Petz,Welterweight,5.75,170,71,44,24,9,0
Cody Pfister,Lightweight,5.83,155,73,29,12,6,1
Nam Phan,Bantamweight,5.5,135,70,36,18,14,0
Costas Philippou,Middleweight,5.92,185,73,39,13,5,0
Aaron Phillips,Bantamweight,5.75,135,70,30,8,2,0
Elizabeth Phillips,Women's Bantamweight,5.5,135,65,33,5,4,0
John Phillips,Middleweight,5.92,185,75,34,22,9,0
Vinc Pichel,Lightweight,5.83,155,72,36,12,2,0
