Name,Height:,Weight:,Reach:,Age,SLpM:,Str. Acc.:,SApM:,Str. Def:,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,Win Percentage,Total Fights
dominique steele,5.83,170,74,31,2.32,0.49,2.42,0.5,2.95,0.42,0.76,0.0,0.61,23
ricky steele,5.75,135,74,31,4.07,0.7,2.93,0.5,0.0,0.0,0.91,0.0,1.0,5
steve steinbeiss,6.25,185,75,38,3.92,0.55,1.86,0.49,0.44,0.5,0.58,0.0,0.64,11
jeremy stephens,5.75,145,71,33,3.09,0.4,2.98,0.58,1.18,0.38,0.65,0.4,0.62,45
aljamain sterling,5.58,135,71,30,4.85,0.5,1.95,0.66,1.91,0.29,0.51,0.8,0.86,21
joe stevenson,5.58,145,70,37,2.05,0.44,2.44,0.6,2.75,0.44,0.39,2.2,0.69,45
maia stevenson,5.33,115,62,37,1.57,0.54,3.13,0.33,3.91,1.0,0.5,0.0,0.55,11
darren stewart,6.0,185,74,28,2.94,0.44,2.44,0.54,1.38,0.44,0.65,0.0,0.73,15
kyle stewart,6.0,170,76,30,1.41,0.35,2.42,0.43,1.32,0.2,0.6,0.0,0.79,14
lazar stojadinovic,5.58,145,68,30,1.82,0.29,1.97,0.59,0.0,0.0,0.0,0.0,0.71,17
julija stoliarenko,5.58,145,66,26,3.8,0.36,4.87,0.59,0.0,0.0,1.0,1.0,0.44,9
ken stone,5.67,135,71,37,3.85,0.49,2.9,0.48,1.24,0.33,0.6,0.6,0.73,15
rick story,5.75,170,71,35,3.8,0.41,2.17,0.62,2.53,0.48,0.63,0.9,0.68,28
